timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1754931600,Aug 11 2025 - 5:00pm,complete,N/A,OB,Randers,N/A,4,3.00,2.00,1.56,0.89,3,2,5,5,3,2,"5,45'1,43","7,24",2,2,1,0,4,0,0,1,0,4,8,8,3,2,5,6,8,15,44,56,1.51,1.12,0.99,1.03,3.25,100,100,75,50,0,0,75,100,100,9.00,4.50,2.75,3.75,2.44,1.17,1.67,2.60,4.50,1.57,2.40,Nature Energy Park
1755273600,Aug 15 2025 - 4:00pm,complete,N/A,Nordsjælland,København,N/A,5,0.00,3.00,1.67,1.67,1,3,4,0,0,0,"46","59,75,90'4",5,4,2,1,3,0,1,2,1,2,11,12,7,6,4,6,9,11,50,50,1.86,2.22,1.40,1.50,2.25,25,50,25,25,25,25,100,25,50,13.50,1.50,3.25,3.50,1.91,1.20,1.65,2.64,4.40,1.55,2.25,Right to Dream Park
1755280800,Aug 15 2025 - 6:00pm,complete,N/A,Fredericia,SønderjyskE,N/A,5,0.00,0.00,0.78,1.33,3,2,5,0,0,0,"50,90'1,48","79,63",13,3,1,0,1,1,0,1,2,0,23,17,7,5,16,12,11,10,57,43,0.96,1.76,2.46,1.67,4.00,50,75,50,50,50,50,100,25,75,8.00,3.00,2.45,3.55,2.70,1.20,1.67,2.60,4.95,1.63,2.28,Monjasa Park
1755432000,Aug 17 2025 - 12:00pm,complete,N/A,Vejle,Midtjylland,N/A,5,2.00,1.00,1.22,1.67,0,2,2,0,0,0,"","76,90'7",2,3,1,1,3,0,1,1,2,1,16,13,8,6,8,7,16,11,49,51,1.37,0.61,1.88,1.57,1.50,25,50,25,25,0,25,25,50,50,4.50,4.50,3.70,4.10,1.73,1.11,1.47,2.25,3.64,1.50,2.50,Vejle Stadion
1755439200,Aug 17 2025 - 2:00pm,complete,N/A,Viborg,Silkeborg,N/A,5,1.50,0.00,1.44,0.89,2,3,5,4,2,2,"38,18","2,11,90'1",5,6,2,0,1,0,0,2,0,1,11,17,7,10,4,7,20,5,48,52,1.01,1.34,1.55,2.03,2.50,25,50,50,25,25,25,100,50,50,6.50,1.50,2.20,3.39,2.70,1.22,1.62,2.75,4.40,1.54,2.40,Energi Viborg Arena
1755446400,Aug 17 2025 - 4:00pm,complete,N/A,Randers,Brøndby,N/A,5,3.00,3.00,1.22,1.67,0,2,2,2,0,2,"","13,34",7,3,2,0,1,0,1,1,1,0,11,20,4,7,7,13,15,5,52,48,1.23,0.73,1.33,2.13,1.00,0,0,0,0,0,0,100,0,0,4.00,3.00,2.70,3.59,2.49,1.16,1.82,2.88,5.20,1.68,2.10,N/A
1755536400,Aug 18 2025 - 5:00pm,complete,N/A,OB,AGF,N/A,5,3.00,2.00,1.56,2.33,1,5,6,3,1,2,"45'4","21,24,66,71,57",9,5,3,0,0,0,2,1,0,0,16,15,6,8,10,7,16,14,49,51,1.25,1.18,1.71,1.76,4.00,100,100,75,75,50,25,100,50,75,8.50,4.50,2.85,3.62,2.40,1.19,1.67,2.62,5.00,1.57,2.53,Nature Energy Park
1755964800,Aug 23 2025 - 4:00pm,complete,N/A,København,OB,N/A,6,1.50,0.50,1.44,1.33,1,1,2,1,0,1,"88","4",7,1,1,0,2,0,1,0,0,2,17,11,4,3,13,8,14,13,63,37,1.82,0.86,1.87,1.09,4.25,50,100,75,75,50,75,100,75,75,8.00,3.00,1.42,5.05,7.00,1.15,1.49,2.30,4.20,1.70,2.04,Parken
1756036800,Aug 24 2025 - 12:00pm,complete,N/A,Fredericia,Randers,N/A,6,1.00,1.33,0.78,0.89,1,0,1,1,1,0,"34","",3,11,1,0,3,0,0,1,2,1,7,18,5,3,2,15,10,8,43,57,1.46,1.09,1.05,2.04,3.67,84,100,67,50,50,33,67,50,84,11.00,4.33,2.80,3.50,2.14,1.16,1.53,2.60,4.75,1.57,2.15,Monjasa Park
1756036800,Aug 24 2025 - 12:00pm,complete,N/A,Midtjylland,Silkeborg,N/A,6,1.67,1.00,2.33,0.89,4,2,6,2,1,1,"35,51,81,64","32,70",6,4,2,0,1,0,0,2,0,1,21,11,12,5,9,6,11,11,43,57,2.06,1.57,2.63,1.31,4.84,67,84,84,67,67,67,100,67,84,10.00,2.00,1.70,4.30,4.57,1.14,1.36,2.10,3.40,1.50,2.70,MCH Arena
1756044000,Aug 24 2025 - 2:00pm,complete,N/A,SønderjyskE,Brøndby,N/A,6,2.00,3.00,1.89,1.67,2,0,2,0,0,0,"48,81","",1,11,2,0,3,0,1,1,1,2,9,23,3,3,6,20,11,10,35,65,1.03,1.43,0.98,2.38,2.50,50,75,25,25,25,50,100,25,50,4.00,2.50,3.70,3.50,1.95,1.22,1.67,2.62,4.75,1.60,2.20,Sydbank Park
1756051200,Aug 24 2025 - 4:00pm,complete,N/A,AGF,Vejle,N/A,6,0.50,0.00,2.11,0.22,1,0,1,1,1,0,"7","",6,3,1,0,2,0,1,0,0,2,17,8,5,1,12,7,12,12,55,45,1.89,0.86,1.82,0.86,2.00,50,75,50,0,0,50,75,25,25,12.50,4.00,1.59,3.90,6.00,1.24,1.71,2.75,5.00,1.70,2.00,N/A
1756141200,Aug 25 2025 - 5:00pm,complete,N/A,Nordsjælland,Viborg,N/A,6,0.00,1.50,1.67,1.22,1,0,1,1,1,0,"4","",3,3,2,0,3,0,1,1,0,3,10,10,3,3,7,7,13,14,60,40,1.63,1.45,1.21,1.13,2.75,50,75,50,50,0,0,75,50,75,8.50,4.50,1.95,3.60,3.20,1.15,1.53,2.25,3.85,1.49,2.40,Right to Dream Park
1756486800,Aug 29 2025 - 5:00pm,complete,N/A,Vejle,Viborg,N/A,7,1.33,1.00,1.22,1.22,1,2,3,2,1,1,"15","40,54",5,6,1,0,1,0,0,1,1,0,9,16,3,9,6,7,16,12,55,45,1.54,1.34,1.08,1.96,2.50,33,84,33,33,0,17,67,67,84,6.34,3.33,2.60,3.25,2.56,1.30,1.85,3.10,6.00,1.67,2.23,Vejle Stadion
1756641600,Aug 31 2025 - 12:00pm,complete,N/A,AGF,Fredericia,N/A,7,1.33,2.00,2.11,0.78,4,1,5,2,2,0,"41,37,86,75","79",7,1,0,0,1,0,0,0,1,0,30,9,10,5,20,4,12,11,64,36,1.86,1.43,3.08,1.10,2.67,42,67,42,25,25,50,84,42,42,8.00,1.83,1.44,4.90,6.50,1.14,1.57,2.50,4.00,1.67,1.98,N/A
1756641600,Aug 31 2025 - 12:00pm,complete,N/A,Silkeborg,SønderjyskE,N/A,7,1.50,0.00,1.22,1.33,0,2,2,0,0,0,"","57,53",9,2,0,0,3,0,0,0,1,2,13,10,4,7,9,3,8,7,61,39,1.83,1.73,1.60,1.33,4.34,59,84,59,59,59,67,84,59,59,10.50,2.50,2.12,3.75,3.20,1.15,1.65,2.50,4.63,1.55,2.37,JYSK park
1756648800,Aug 31 2025 - 2:00pm,complete,N/A,OB,Nordsjælland,N/A,7,2.00,1.00,1.56,1.00,1,2,3,1,1,0,"27","49,60",1,2,1,0,4,0,1,0,2,2,11,7,3,3,8,4,19,11,39,61,1.40,1.85,1.28,0.86,5.17,100,100,100,100,84,84,100,67,84,9.33,4.00,2.54,3.25,2.65,1.16,1.64,2.74,5.00,1.59,2.25,Nature Energy Park
1756656000,Aug 31 2025 - 4:00pm,complete,N/A,Randers,København,N/A,7,1.50,3.00,1.22,1.67,1,5,6,4,0,4,"55","12,40,21,45'1,90",1,5,2,0,1,0,2,0,0,1,6,14,3,9,3,5,11,12,40,60,1.28,1.98,0.83,1.76,2.59,34,75,34,34,17,42,84,34,50,11.17,2.83,4.16,3.85,1.80,1.22,1.74,2.95,5.50,1.66,2.10,N/A
1756663200,Aug 31 2025 - 6:00pm,complete,N/A,Brøndby,Midtjylland,N/A,7,2.00,2.00,1.78,1.67,1,3,4,0,0,0,"88","60,90'5,90'7",3,4,1,0,3,0,1,0,2,1,15,21,6,7,9,14,11,13,49,51,1.88,1.09,1.67,2.21,1.84,17,75,34,0,0,17,50,42,59,4.50,4.83,2.45,3.60,2.60,1.11,1.50,2.35,4.33,1.44,2.62,Brøndby Stadion
1757696400,Sep 12 2025 - 5:00pm,complete,N/A,SønderjyskE,Randers,N/A,8,2.33,1.00,1.89,0.89,0,1,1,0,0,0,"","59",2,10,3,1,1,0,0,4,0,1,10,18,1,8,9,10,8,11,45,55,1.02,1.33,1.03,2.20,2.88,71,88,42,29,29,29,71,59,75,7.25,4.33,2.55,3.40,2.65,1.24,1.62,2.59,4.63,1.50,2.45,Sydbank Park
1757768400,Sep 13 2025 - 1:00pm,complete,N/A,Brøndby,København,N/A,8,1.50,3.00,1.78,1.67,2,1,3,1,1,0,"45'1,73","64",2,1,3,0,1,0,1,2,1,0,7,10,5,3,2,7,17,19,43,57,1.83,1.93,1.10,1.21,3.63,63,100,75,50,25,38,75,63,88,8.50,2.50,3.70,3.30,1.95,1.22,1.73,2.80,5.00,1.62,2.10,Brøndby Stadion
1757851200,Sep 14 2025 - 12:00pm,complete,N/A,Viborg,AGF,N/A,8,1.00,2.33,1.44,2.33,1,2,3,3,1,2,"18","14,26",7,4,2,0,3,0,0,2,1,2,14,14,7,5,7,9,12,11,53,47,1.19,1.37,1.66,1.58,4.00,84,84,67,67,67,50,100,50,84,8.67,3.33,2.90,3.30,2.23,1.25,1.73,2.90,5.66,1.68,2.15,Energi Viborg Arena
1757858400,Sep 14 2025 - 2:00pm,complete,N/A,Nordsjælland,Midtjylland,N/A,8,1.00,2.33,1.67,1.67,1,0,1,1,1,0,"8","",6,1,2,0,2,1,0,2,0,3,15,5,5,1,10,4,10,12,58,42,1.49,1.46,1.79,0.60,2.00,33,50,33,33,0,0,34,50,50,7.33,5.66,3.15,3.60,2.00,1.10,1.44,2.00,3.20,1.40,2.85,Right to Dream Park
1757865600,Sep 14 2025 - 4:00pm,complete,N/A,Silkeborg,OB,N/A,8,1.00,0.67,1.22,1.33,2,1,3,2,1,1,"42,79","1",2,11,1,0,2,1,0,1,0,3,6,13,3,2,3,11,11,16,47,53,1.75,0.94,0.76,1.37,3.67,50,100,50,50,33,67,84,67,84,11.33,2.33,2.35,3.65,2.75,1.18,1.59,2.45,4.00,1.50,2.40,JYSK park
1757955600,Sep 15 2025 - 5:00pm,complete,N/A,Fredericia,Vejle,N/A,8,1.50,0.00,0.78,0.22,1,1,2,0,0,0,"73","64",9,4,2,0,2,0,1,1,1,1,14,18,5,6,9,12,7,10,54,46,1.36,0.86,1.56,1.98,2.63,42,71,42,25,25,46,88,13,38,11.83,3.58,2.58,3.66,2.41,1.21,1.80,2.74,5.31,1.62,2.31,Monjasa Park
1758301200,Sep 19 2025 - 5:00pm,complete,N/A,OB,Fredericia,N/A,9,1.50,1.33,1.56,0.78,3,2,5,1,1,0,"38,54,90'4","60,90'7",6,5,2,0,2,0,0,2,0,2,17,14,7,4,10,10,6,10,59,41,1.37,1.32,1.97,1.48,4.42,84,100,84,71,59,75,100,71,71,5.92,2.42,1.72,3.68,3.77,1.14,1.65,2.36,4.51,1.60,2.27,Nature Energy Park
1758384000,Sep 20 2025 - 4:00pm,complete,N/A,Midtjylland,Viborg,N/A,9,2.00,1.50,2.33,1.22,2,0,2,0,0,0,"90'6,79","",5,3,4,0,2,0,2,2,1,1,14,4,10,0,4,4,16,16,49,51,2.20,1.50,1.91,0.54,4.50,75,88,75,63,50,63,100,63,88,9.25,3.50,1.48,4.20,4.80,1.09,1.43,2.00,3.48,1.48,2.54,MCH Arena
1758456000,Sep 21 2025 - 12:00pm,complete,N/A,Vejle,SønderjyskE,N/A,9,1.00,0.75,1.22,1.33,2,2,4,3,1,2,"36,77","15,32",5,9,4,0,1,0,2,2,0,1,11,11,3,2,8,9,12,10,49,51,1.42,1.63,1.26,1.16,3.38,50,88,50,38,25,38,50,75,88,6.75,3.25,2.10,3.64,3.15,1.22,1.75,2.70,5.60,1.60,2.22,Vejle Stadion
1758463200,Sep 21 2025 - 2:00pm,complete,N/A,København,Silkeborg,N/A,9,1.33,0.75,1.44,0.89,3,3,6,3,2,1,"9,33,46","3,58,74",5,1,4,0,0,0,0,4,0,0,18,7,7,5,11,2,10,6,60,40,1.84,1.51,2.11,0.93,3.38,59,88,54,42,42,42,100,42,71,8.92,1.75,1.33,5.15,8.00,1.17,1.53,2.47,3.88,1.75,2.06,Parken
1758470400,Sep 21 2025 - 4:00pm,complete,N/A,AGF,Brøndby,N/A,9,1.75,2.00,2.11,1.67,1,0,1,1,1,0,"31","",6,2,3,0,4,0,2,1,1,3,14,13,4,4,10,9,13,10,46,54,2.17,1.75,1.56,1.49,1.96,25,59,25,13,13,29,71,42,42,10.92,3.00,2.26,3.55,2.87,1.25,1.85,3.00,5.40,1.62,2.12,N/A
1758560400,Sep 22 2025 - 5:00pm,complete,N/A,Randers,Nordsjælland,N/A,9,1.00,1.50,1.22,1.00,3,0,3,0,0,0,"53,57,71","",2,4,1,0,0,0,0,1,0,0,9,12,5,5,4,7,16,5,43,57,1.13,1.60,1.10,1.43,3.88,67,84,67,54,54,71,100,54,67,7.50,4.17,2.40,3.45,2.60,1.15,1.58,2.52,4.20,1.53,2.40,N/A
1758988800,Sep 27 2025 - 4:00pm,complete,N/A,SønderjyskE,København,N/A,10,1.75,2.40,1.89,1.67,1,2,3,1,0,1,"82","29,56",3,2,2,0,3,0,0,2,0,3,8,13,1,5,7,8,14,10,37,63,1.02,1.78,0.78,1.52,3.25,65,88,53,43,33,33,65,65,100,6.60,3.20,6.25,4.40,1.48,1.15,1.61,2.60,4.65,1.73,1.98,Sydbank Park
1759060800,Sep 28 2025 - 12:00pm,complete,N/A,Viborg,Fredericia,N/A,10,0.75,1.00,1.44,0.78,2,1,3,2,1,1,"21,89","15",3,1,0,0,0,0,0,0,0,0,14,3,3,2,11,1,2,4,53,47,1.31,1.36,1.52,0.62,4.00,75,88,75,63,63,75,100,50,63,7.00,2.50,1.67,4.10,4.65,1.16,1.52,2.27,4.00,1.50,2.38,Energi Viborg Arena
